Column 01,Column 02,Column 03,Column 04,Column 05,Column 06,Column 07
subid,long,lat,description,Proposed label,Notes by Hannah,final
25,-93.2622,44.8604,hotel,temporary residence,,temporary residence
34,-87.915,43.0407,hotel,temporary residence,,temporary residence
37,-93.6442,41.53874,hotel,temporary residence,,temporary residence
52,-89.3111,43.12477,hotel,temporary residence,,temporary residence
80,-89.5012,43.05229,hotel,temporary residence,,temporary residence
80,-87.7384,41.65921,hotel,temporary residence,,temporary residence
100,-81.5424,30.33837,hotel,temporary residence,,temporary residence
103,-86.596,30.39734,hotel,temporary residence,,temporary residence
117,-87.2988,45.04107,hotel,temporary residence,,temporary residence
128,-90.1947,38.6239,hotel,temporary residence,,temporary residence
130,-116.548,33.81789,hotel,temporary residence,,temporary residence
130,-116.547,33.82613,hotel,temporary residence,,temporary residence
131,-104.985,39.74561,hotel,temporary residence,,temporary residence
149,-88.5848,43.94534,hotel,temporary residence,,temporary residence
161,-87.1629,45.17231,hotel,temporary residence,,temporary residence
163,-89.3805,43.07274,hotel,temporary residence,,temporary residence
166,-81.4966,28.33461,hotel,temporary residence,,temporary residence
166,-98.0457,43.70119,hotel,temporary residence,,temporary residence
179,-89.5071,44.52496,hotel,temporary residence,,temporary residence
179,-93.3341,44.85921,hotel,temporary residence,,temporary residence
180,-105.236,20.6024,hotel,temporary residence,,temporary residence
180,-87.9115,42.94848,hotel,temporary residence,,temporary residence
193,-87.9321,42.91491,hotel,temporary residence,,temporary residence
197,-88.0195,41.98692,hotel,temporary residence,,temporary residence
207,-99.2263,19.46956,hotel,temporary residence,,temporary residence
207,-87.9315,42.92559,hotel,temporary residence,,temporary residence
224,-87.9835,42.04638,hotel,temporary residence,,temporary residence
241,-87.6289,41.88944,hotel,temporary residence,,temporary residence
241,-89.6383,44.86679,hotel,temporary residence,,temporary residence
242,-89.7797,43.66168,hotel,temporary residence,,temporary residence
243,-90.067,29.94599,hotel,temporary residence,,temporary residence
259,-93.1444,45.06066,hotel,temporary residence,,temporary residence
