subid,context_id,long,lat,description,final
6,113,-87.7945,41.86496,airbnb (hotel),temporary residence
6,109,-77.0749,38.89183,hotel,temporary residence
16,318,-117.167,32.71752,hotel,temporary residence
16,321,-89.4128,43.06753,hotel,temporary residence
23,484,-91.9078,44.26565,cabin,temporary residence
25,554,-93.2622,44.8604,hotel,temporary residence
25,561,-82.7062,28.36086,housing on vacation,temporary residence
25,558,-80.9751,29.16348,housing on vacation,temporary residence
30,729,-89.3807,43.08294,bed and breakfast,temporary residence
31,751,-81.7292,25.93313,vacation house,temporary residence
34,877,-87.915,43.0407,hotel,temporary residence
37,907,-93.6442,41.53874,hotel,temporary residence
38,927,-88.1318,41.80496,hotel vb,temporary residence
40,1052,-87.6473,44.23182,condo,temporary residence
40,1056,-87.6459,44.22811,condo,temporary residence
42,1090,-89.752,43.20644,campsite,temporary residence
43,1115,-80.8469,31.99947,air bnb,temporary residence
44,1182,-155.879,19.9155,resort,temporary residence
44,1170,-109.634,38.70135,camping,temporary residence
44,1181,-87.9173,43.11634,motel,temporary residence
48,1238,-89.273,43.46513,campsite,temporary residence
48,1225,-87.6947,41.92578,air bnb,temporary residence
51,1268,-88.0306,43.02722,temp home still live at 11 gina ct. mad,temporary residence
52,1319,-89.3111,43.12477,hotel,temporary residence
54,1379,-89.5227,45.94317,cabin,temporary residence
76,1701,-87.7955,43.49866,camping,temporary residence
77,1742,-89.3134,43.12256,motel,temporary residence
80,1808,-89.5012,43.05229,hotel,temporary residence
80,1822,-87.7384,41.65921,hotel,temporary residence
82,1889,-89.3779,43.07869,day shelter,temporary residence
86,1989,-88.5664,42.5443,vacation home,temporary residence
99,2261,-90.3789,45.73954,vacation cabin,temporary residence
100,2283,-81.5438,30.33855,vacation location,temporary residence
100,2284,-81.5424,30.33837,hotel,temporary residence
103,2314,-86.596,30.39734,hotel,temporary residence
117,2529,-87.2988,45.04107,hotel,temporary residence
121,2666,-90.1947,38.6239,hotel,temporary residence
128,2704,-116.5484,33.81789,hotel,temporary residence
128,2705,-116.5473,33.82613,hotel,temporary residence
130,2734,-104.9852,39.74561,hotel,temporary residence
143,2954,-88.5848,43.94534,hotel,temporary residence
161,3113,-87.1629,45.17231,hotel,temporary residence
163,3162,-89.3805,43.07274,hotel,temporary residence
163,3230,-98.0457,43.70119,hotel,temporary residence
166,3219,-81.4966,28.33461,hotel,temporary residence
178,3570,-93.3341,44.85921,hotel,temporary residence
179,3565,-89.5071,44.52496,hotel,temporary residence
179,3619,-105.2361,20.6024,hotel,temporary residence
180,3633,-87.9115,42.94848,hotel,temporary residence
180,3641,-82.1015,26.42776,motel,temporary residence
187,3804,-89.8243,44.20862,vacation house,temporary residence
190,3900,-89.8058,44.20186,lodge,temporary residence
193,3983,-87.9321,42.91491,hotel,temporary residence
197,4056,-88.0195,41.98692,hotel,temporary residence
204,4231,-99.2263,19.46956,hotel,temporary residence
207,4234,-87.9315,42.92559,hotel,temporary residence
211,4293,-85.6509,42.20943,air bnb,temporary residence
218,4480,-105.9568,35.68268,airbnb,temporary residence
218,4478,-105.0477,39.77226,airbnb,temporary residence
224,4596,-87.9835,42.04638,hotel,temporary residence
231,4779,-70.7627,42.98697,air bnb,temporary residence
240,4906,-89.3125,45.80946,cabin,temporary residence
240,4974,-89.6383,44.86679,hotel,temporary residence
241,4959,-87.6289,41.88944,hotel,temporary residence
241,4979,-87.2988,45.04107,resort,temporary residence
241,4992,-89.7797,43.66168,hotel,temporary residence
242,5022,-90.067,29.94599,hotel,temporary residence
245,5099,-99.3545,46.27924,air bnb,temporary residence
252,5113,-89.0297,42.9804,camping,temporary residence
255,5183,-93.1444,45.06066,hotel,temporary residence
259,5201,-89.0982,44.29031,camping,temporary residence
262,5219,-77.3521,38.95035,hotel,temporary residence
11,224,-87.9173,43.03437,bus station,travel stop
21,465,-89.3051,43.04752,park & ride,travel stop
32,798,-89.3832,43.07683,bus stop,travel stop
32,805,-89.3828,43.07611,bus stop,travel stop
32,803,-89.382,43.07488,frequent bus stop,travel stop
32,802,-89.3223,43.09863,bus transfer point,travel stop
32,799,-89.3071,43.12133,bus stop,travel stop
39,971,-89.4019,43.06604,meeting to get ride home,travel stop
64,1579,-89.3947,43.03894,bus stop,travel stop
64,1584,-89.3852,43.0755,bus stop,travel stop
64,1587,-89.3852,43.07549,bus stop,travel stop
64,1582,-89.3833,43.07777,bus stop,travel stop
76,1683,-89.4016,43.06713,parking,travel stop
80,1840,-89.4755,43.05386,bus stop,travel stop
80,1835,-88.96,42.27497,bus,travel stop
80,1824,-87.6396,41.87885,bus station,travel stop
80,1843,-87.6265,41.87838,bus station,travel stop
86,1978,-87.6686,41.70649,train stop,travel stop
