job_num,n_fold,n_repeat,algorithm,rec,accuracy,sens,spec,bal_accuracy,roc_auc
83,3,9,glmnet,rec_active,0.6032388663967612,0.4268292682926829,0.6192052980132451,0.523017283152964,0.5206448877402682
84,4,9,glmnet,rec_active,0.7453083109919572,0.5230769230769231,0.7519558214450068,0.637516372260965,0.6519098021168891
85,5,9,glmnet,rec_active,0.7585123101100052,0.23423423423423423,0.7908787541713015,0.5125564942027678,0.5300909919931055
86,6,9,glmnet,rec_active,0.7569346497414199,0.27450980392156865,0.7812345679012346,0.5278721859114016,0.5243669813604455
87,7,9,glmnet,rec_active,0.7848837209302325,0.518918918918919,0.8110697179350719,0.6649943184269954,0.714262905800958
88,8,9,glmnet,rec_active,0.6755113322277502,0.8048780487804879,0.6693688477127968,0.7371234482466423,0.809164348157668
89,9,9,glmnet,rec_active,0.8258883248730965,0.24719101123595505,0.8532695374800638,0.5502302743580094,0.6697340047428753
90,10,9,glmnet,rec_active,0.7595115077501174,0.6274509803921569,0.762752646775746,0.6951018135839514,0.7024193700579365
91,1,10,glmnet,rec_active,0.7149046793760832,0.4225352112676056,0.7241841752346894,0.5733596932511476,0.55337568549428
92,2,10,glmnet,rec_active,0.6425576519916143,0.5298507462686567,0.6510710259301015,0.5904608860993791,0.6467339177842467
93,3,10,glmnet,rec_active,0.7331447430457332,0.3716814159292035,0.7534860557768924,0.562583735853048,0.6057275323484822
94,4,10,glmnet,rec_active,0.7398167006109979,0.3956043956043956,0.7565403096636412,0.5760723526340183,0.6357227929571763
95,5,10,glmnet,rec_active,0.7649700598802395,0.2371134020618557,0.7918196119559517,0.5144665070089037,0.5523437795641667
96,6,10,glmnet,rec_active,0.8393351800554016,0.3508771929824561,0.8525367472735894,0.6017069701280228,0.6529951003635214
97,7,10,glmnet,rec_active,0.7073938122705821,0.6473988439306358,0.7133794694348328,0.6803891566827343,0.7534152049122947
98,8,10,glmnet,rec_active,0.7329650092081031,0.5619834710743802,0.7430521696733301,0.6525178203738551,0.7158692997973172
99,9,10,glmnet,rec_active,0.6682264857276556,0.4047619047619048,0.6790063321967852,0.541884118479345,0.5475871546865214
100,10,10,glmnet,rec_active,0.8705758055995774,0.5340909090909091,0.8869806094182825,0.7105357592545958,0.811102367161924
